listing_id,description,room_type,host_name,last_review,price,nbhood_full,last_review_year
9657,Modern 1 BR / NYC / EAST VILLAGE,Entire Home/Apt,Dana,19/04/2019,180,"Manhattan, East Village",2019
9668,front room/double bed,Private Room,Ssameer Or Trip,01/06/2019,50,"Manhattan, Harlem",2019
9704,Spacious 1 bedroom in luxe building,Private Room,Teri,14/06/2019,52,"Manhattan, Harlem",2019
9782,Loft in Williamsburg Area w/ Roof,Private Room,Andrea,15/06/2019,55,"Brooklyn, Greenpoint",2019
9783,back room/bunk beds,Private Room,Ssameer Or Trip,01/07/2019,50,"Manhattan, Harlem",2019
10452,Large B&B Style rooms,Private Room,Angela,12/05/2019,70,"Brooklyn, Bedford-Stuyvesant",2019
10962,"Lovely room 2 & garden; Best area, Legal rental",Private Room,Laurie,21/06/2019,89,"Brooklyn, South Slope",2019
11708,Cute apt in artist's home,Entire Home/Apt,Tyrome,22/06/2019,85,"Brooklyn, Bushwick",2019
12048,LowerEastSide apt share shortterm 1,Shared Room,Ben,05/07/2019,40,"Manhattan, Lower East Side",2019
12192,ENJOY Downtown NYC!,Private Room,Edward,21/06/2019,68,"Manhattan, East Village",2019
12299,Beautiful Sunny Park Slope Brooklyn,Entire Home/Apt,Abdul,27/05/2019,120,"Brooklyn, South Slope",2019
12318,West Side Retreat,Private Room,Cyn,16/06/2019,135,"Manhattan, Upper West Side",2019
12343,BEST BET IN HARLEM,Entire Home/Apt,Earl,13/06/2019,150,"Manhattan, Harlem",2019
12627,Entire apartment in central Brooklyn neighborhood.,Entire Home/Apt,Rana,05/06/2019,150,"Brooklyn, Prospect-Lefferts Gardens",2019
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",Private Room,Orestes,01/07/2019,130,"Queens, Long Island City",2019
12940,Charming Brownstone 3 - Near PRATT,Entire Home/Apt,Adreinne,25/05/2019,110,"Brooklyn, Bedford-Stuyvesant",2019
13394,Fort Greene brownstone,Private Room,Alexander,17/06/2019,80,"Brooklyn, Fort Greene",2019
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private Room,JT And Tiziana,16/06/2019,80,"Brooklyn, Bedford-Stuyvesant",2019
14287,Cozy 1BD on Central Park West in New York City,Entire Home/Apt,Joya,07/07/2019,151,"Manhattan, Upper West Side",2019
14290,* ORIGINAL BROOKLYN LOFT *,Entire Home/Apt,James,17/05/2019,228,"Brooklyn, Williamsburg",2019
14314,Greenpoint Place...Has It All!,Entire Home/Apt,Jeanne,29/06/2019,144,"Brooklyn, Greenpoint",2019
14322,Beautiful Apartment in Manhattan!!!,Entire Home/Apt,Francesca,25/03/2019,200,"Manhattan, Kips Bay",2019
14377,Williamsburg 1 bedroom Apartment,Entire Home/Apt,Joanna,22/06/2019,150,"Brooklyn, Williamsburg",2019
14991,"Great Location, Manhattan Bedroom!",Private Room,Bianca,18/05/2019,110,"Manhattan, Lower East Side",2019
15220,Best Location in NYC! TIMES SQUARE!,Private Room,Luiz,09/06/2019,69,"Manhattan, Hell's Kitchen",2019
15338,Room in Greenpoint Loft w/ Roof,Private Room,Andrea,04/06/2019,49,"Brooklyn, Greenpoint",2019
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,Entire Home/Apt,Ted,29/06/2019,180,"Manhattan, SoHo",2019
15385,"Very, very cozy place",Private Room,Cristina,30/06/2019,80,"Brooklyn, Williamsburg",2019
15711,2 bedroom - Upper East Side-great for kids,Entire Home/Apt,D,30/03/2019,250,"Manhattan, Upper East Side",2019
16326,Comfortable 4-bedroom apt in family house.,Entire Home/Apt,Dimitri,26/01/2019,200,"Brooklyn, Prospect Heights",2019
16421,Your Heaven in Hells Kitchen,Private Room,Mark,16/05/2019,52,"Manhattan, Hell's Kitchen",2019
16580,"Sunny, Modern room in East Village!",Private Room,Reka,01/07/2019,80,"Manhattan, East Village",2019
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Entire Home/Apt,Daniel,23/06/2019,275,"Brooklyn, Williamsburg",2019
16821,Large Room in Amazing East Village Apt,Private Room,Casey,21/06/2019,99,"Manhattan, East Village",2019
16974,SpaHa Loft: Enormous and Bright,Entire Home/Apt,Robin,23/06/2019,225,"Manhattan, East Harlem",2019
17092,Cool Room in Hell's Kitchen,Private Room,Enzo,01/06/2019,51,"Manhattan, Hell's Kitchen",2019
17693,"HARLEM, NEW YORK WELCOMES YOU!!",Private Room,Tye And Etienne,18/06/2019,65,"Manhattan, Washington Heights",2019
17747,BLUE TRIM GUEST HOUSE,Private Room,George,26/06/2019,105,"Brooklyn, Clinton Hill",2019
18127,Charming East Village One Bedroom Flat,Entire Home/Apt,Josh,02/01/2019,190,"Manhattan, East Village",2019
18152,Manhattan Room,Private Room,Victoria,09/07/2019,200,"Manhattan, Upper East Side",2019
18198,Little King of Queens,Private Room,Justin,31/05/2019,70,"Queens, Woodside",2019
18590,Fort Greene Retreat on the Park,Private Room,Blaise,16/06/2019,95,"Brooklyn, Fort Greene",2019
18728,Beautiful Meatpacking District Loft,Private Room,DAVID And RICK,28/05/2019,150,"Manhattan, Chelsea",2019
18764,Cozy 2 BR in Williamsburg,Private Room,Lulú,22/04/2019,145,"Brooklyn, Williamsburg",2019
19159,Spacious luminous apt Upper West NYC,Entire Home/Apt,Sybilla,23/03/2019,110,"Manhattan, Harlem",2019
19169,Entire 2 Bedroom - Large & Sunny,Entire Home/Apt,JoLynn,30/06/2019,285,"Manhattan, Lower East Side",2019
19282,"Sunny, Spacious Top Floor Haven",Entire Home/Apt,Gaia,15/06/2019,130,"Brooklyn, Flatbush",2019
19319,Private room Great Deal at Lower East Side,Private Room,Ana,08/04/2019,94,"Manhattan, Lower East Side",2019
20299,Oh glorious spring!,Private Room,Edward,30/06/2019,60,"Manhattan, East Village",2019
20611,Cozy Bedroom in Williamsburg 3 BR,Private Room,Lulú,22/06/2019,85,"Brooklyn, Williamsburg",2019
20724,Sunny room+Pvte office in huge loft,Private Room,Augustin,26/05/2019,65,"Brooklyn, Bushwick",2019
20734,Spacious Prospect Heights Apartment,Entire Home/Apt,Sean & Lynette,27/06/2019,131,"Brooklyn, Prospect Heights",2019
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",Private Room,Erica,31/05/2019,98,"Brooklyn, Clinton Hill",2019
20853,2-bed brownstone duplex + garden,Entire Home/Apt,Tracy,21/05/2019,250,"Brooklyn, Prospect Heights",2019
21293,Sunny Apartment in Artist Home,Entire Home/Apt,Tyrome,18/06/2019,105,"Brooklyn, Bushwick",2019
21456,Light-filled classic Central Park,Entire Home/Apt,Dana,07/07/2019,140,"Manhattan, Upper West Side",2019
21794,COZY QUIET room 4 DOOGLERS!,Private Room,Olan,01/05/2019,98,"Manhattan, Chelsea",2019
22918,loft bed - near transportation-15min to times sq,Private Room,Ssameer Or Trip,03/01/2019,60,"Manhattan, Harlem",2019
23135,House On Henry (3rd FLR Suite),Entire Home/Apt,Annette,24/06/2019,175,"Brooklyn, Carroll Gardens",2019
23686,2000 SF 3br 2bath West Village private  townhouse,Entire Home/Apt,Ann,18/05/2019,500,"Manhattan, West Village",2019
24143,"Williamsburg‚ÄîSteps To Subway, Private Bath&Balcony",Private Room,Seth,29/05/2019,101,"Brooklyn, Williamsburg",2019
25235,Large 2 Bedroom Great for Groups!,Entire Home/Apt,Shelly,28/06/2019,125,"Brooklyn, Bedford-Stuyvesant",2019
25696,"1,800 sq foot in luxury building",Private Room,Dena,23/06/2019,100,"Manhattan, Harlem",2019
26362,"Times Square, Safe, Clean and Cozy!",Private Room,Luiz,16/06/2019,59,"Manhattan, Hell's Kitchen",2019
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",Private Room,Erica,02/06/2019,125,"Brooklyn, Clinton Hill",2019
26969,2 story family home in Williamsburg,Entire Home/Apt,Alexandra,23/06/2019,325,"Brooklyn, Williamsburg",2019
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,Entire Home/Apt,Stacy,27/04/2019,235,"Manhattan, Upper West Side",2019
27385,Great Large 1 BR apt  in East Village!,Entire Home/Apt,Bruce,07/06/2019,225,"Manhattan, East Village",2019
27531,Eveland Private Bed & Living Room w/ Own Entrance,Private Room,Evelyn,20/05/2019,99,"Brooklyn, South Slope",2019
27644,Sugar Hill Rest Stop,Entire Home/Apt,Emma,01/07/2019,170,"Manhattan, Harlem",2019
27759,apartment next to Central park,Entire Home/Apt,Sylvie,26/06/2019,170,"Manhattan, Upper West Side",2019
29013,B & B Room 1,Private Room,Angela,14/05/2019,70,"Brooklyn, Bedford-Stuyvesant",2019
29455,ACCOMMODATIONS GALORE #1,Entire Home/Apt,Laurine,20/06/2019,120,"Manhattan, Harlem",2019
29628,Sunny Room in New Condo,Private Room,Chris,03/07/2019,89,"Brooklyn, Clinton Hill",2019
29683,Stylish & Sleek Apartment Near SoHo!,Entire Home/Apt,Uli,25/06/2019,185,"Manhattan, East Village",2019
30031,NYC artists‚Äô loft with roof deck,Private Room,Sol,20/05/2019,50,"Brooklyn, Greenpoint",2019
30927,Unique & Charming small 1br Apt. LES,Entire Home/Apt,Cs,14/06/2019,105,"Manhattan, Lower East Side",2019
31130,Most Central Location!,Private Room,Lara,26/05/2019,130,"Manhattan, Hell's Kitchen",2019
31555,Luminous Beautiful West Village Studio,Entire Home/Apt,Tom,01/07/2019,115,"Manhattan, West Village",2019
31902,Sanctuary in East Flatbush,Private Room,Sunder,01/01/2019,77,"Brooklyn, Flatlands",2019
31994,Room with En Suite Bathroom & Deck,Private Room,Waldemar,24/06/2019,76,"Brooklyn, Clinton Hill",2019
32023,FLAT MACDONOUGH,Entire Home/Apt,Khem,23/06/2019,125,"Brooklyn, Bedford-Stuyvesant",2019
32037,Huge Private  Floor at The Waverly,Private Room,Sahr,01/07/2019,135,"Brooklyn, Clinton Hill",2019
32965,FLAT MACDONOUGH GARDEN,Entire Home/Apt,Khem,20/06/2019,115,"Brooklyn, Bedford-Stuyvesant",2019
32969,Light filled Williamsburg Apartment,Entire Home/Apt,Katherine,02/07/2019,160,"Brooklyn, Williamsburg",2019
33009,Retreat in Williamsburg,Entire Home/Apt,Ming,17/06/2019,195,"Brooklyn, Williamsburg",2019
33014,NYC Zen,Entire Home/Apt,Paula,17/06/2019,195,"Manhattan, East Village",2019
33223,Cozy BR in Wiliamsburg 3 Bedroom,Private Room,Lulú,22/06/2019,80,"Brooklyn, Williamsburg",2019
34760,Sunny Room in Old Historical Brooklyn Townhouse,Private Room,Obed,29/06/2019,44,"Brooklyn, Fort Greene",2019
35526,Sun Filled Classic West Village Apt,Private Room,Karen,22/06/2019,156,"Manhattan, West Village",2019
36133,Classic Artist Loft Williamsburg,Private Room,White,13/06/2019,125,"Brooklyn, Williamsburg",2019
36703,"Sunny, clean 1 bdrm in W. Village",Entire Home/Apt,Karene,31/03/2019,225,"Manhattan, West Village",2019
38638,Light and Airy Upper East Side 1 BDR apartment,Entire Home/Apt,Sara,26/06/2019,219,"Manhattan, Upper East Side",2019
39267,CENTRAL PARK LOFT all for YOU,Entire Home/Apt,Marie,08/06/2019,99,"Manhattan, Upper East Side",2019
39282,Indie-Chic Share In Williamsburg,Private Room,Gus,28/05/2019,69,"Brooklyn, Williamsburg",2019
39593,"A room w/ a Manhattan view, longer stay",Private Room,Myung,12/04/2019,79,"Queens, Sunnyside",2019
39704,"Private, Large & Sunny 1BR w/W&D",Entire Home/Apt,Renée,22/06/2019,135,"Brooklyn, Bedford-Stuyvesant",2019
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,Entire Home/Apt,Syl,06/07/2019,250,"Brooklyn, Gowanus",2019
42580,Parlor Room In Victorian Townhouse,Private Room,Waldemar,24/06/2019,70,"Brooklyn, Clinton Hill",2019
42729,House On Henry (2nd FLR Suite),Entire Home/Apt,Annette,18/06/2019,165,"Brooklyn, Carroll Gardens",2019
42882,New York room with a view,Private Room,Newyorkroomwithaview,13/06/2019,70,"Staten Island, St. George",2019
43957,Sunny cozy room in Brklyn townhouse,Private Room,Tessa,19/06/2019,50,"Brooklyn, Bushwick",2019
44096,Room with a View,Private Room,Waundell,04/07/2019,40,"Bronx, Highbridge",2019
44212,West Inn 2 - East Village,Private Room,Bruce,23/06/2019,125,"Manhattan, East Village",2019
44221,Financial District Luxury Loft,Entire Home/Apt,Coral,20/06/2019,196,"Manhattan, Financial District",2019
44229,BROOKLYN VICTORIAN STYLE SUITE.....,Private Room,Carol,24/06/2019,110,"Brooklyn, Fort Greene",2019
44288,Your own Lovely West Village Studio,Entire Home/Apt,Sara,01/06/2019,170,"Manhattan, West Village",2019
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire Home/Apt,Laurine,26/05/2019,165,"Manhattan, Harlem",2019
45556,"Fort Greene, Brooklyn: Center Bedroom",Private Room,Doug,30/06/2019,65,"Brooklyn, Fort Greene",2019
45910,Beautiful Queens Brownstone! - 5BR,Entire Home/Apt,Mark,12/05/2019,350,"Queens, Ridgewood",2019
45936,Couldn't Be Closer To Columbia Uni,Private Room,Rahul,14/05/2019,99,"Manhattan, Morningside Heights",2019
45940,Bright Spacious Luxury Condo,Entire Home/Apt,Miyoung,08/04/2019,200,"Brooklyn, Williamsburg",2019
46544,Park Slope haven 15 mins from Soho,Entire Home/Apt,Monica,05/06/2019,150,"Brooklyn, Park Slope",2019
46723,SAFE  AND BEAUTIFUL ACCOMODATION,Private Room,Marylyn,19/05/2019,90,"Brooklyn, Bedford-Stuyvesant",2019
46911,Large Room in private Brownstone in Park Slope,Private Room,Kathleen R.,24/06/2019,120,"Brooklyn, Prospect Heights",2019
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private Room,Teresa,24/06/2019,75,"Manhattan, Upper East Side",2019
47926,LUX APT IN TIMES SQUARE NEW BUILDING,Entire Home/Apt,Claudia,26/06/2019,275,"Manhattan, Hell's Kitchen",2019
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire Home/Apt,Shane,15/06/2019,299,"Manhattan, Lower East Side",2019
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire Home/Apt,Laurie,22/06/2019,135,"Brooklyn, South Slope",2019
51485,Lower East Side $57~/night,Private Room,Erina,22/06/2019,83,"Manhattan, Lower East Side",2019
51572,Prime Location in Manhattan,Private Room,Lee,18/06/2019,123,"Manhattan, Chelsea",2019
51850,( F) Excellent/Pvt Rm,Private Room,Jullett,20/05/2019,55,"Queens, Jamaica",2019
53137,"Quiet, sunny Midtown Manhattan apt.",Entire Home/Apt,Marlaine,01/07/2019,195,"Manhattan, Hell's Kitchen",2019
53477,3 floors of luxury!,Entire Home/Apt,Mark,27/04/2019,265,"Queens, Middle Village",2019
54158,The Institute‚ÄîHeart of Williamsburg,Entire Home/Apt,Bob,20/06/2019,249,"Brooklyn, Williamsburg",2019
54508,Sml Rm in pr Brst  Park Sl great for Med/students,Private Room,Kathleen R.,06/06/2019,100,"Brooklyn, Prospect Heights",2019
54544,City Room - Private Penthouse Apt.,Entire Home/Apt,Wayne,22/06/2019,121,"Manhattan, Harlem",2019
54626,Cozy bedroom by Yankee Stadium,Private Room,Waundell,30/06/2019,45,"Bronx, Highbridge",2019
54860,Great apartment with private bathroom and entrance,Private Room,Jenny,23/06/2019,100,"Manhattan, East Harlem",2019
55467,Private Garden Apt ‚Ä¢ New Renovation,Entire Home/Apt,Paul,02/07/2019,140,"Brooklyn, Williamsburg",2019
55498,Modern comfort in art infused landmark Brownstone,Private Room,Tami,01/07/2019,71,"Brooklyn, Bedford-Stuyvesant",2019
55737,Sleek & Comfortable Soho Apt,Entire Home/Apt,Pete,19/05/2019,199,"Manhattan, West Village",2019
55959,Spacious Williamsburg Share w/ LOFT BED,Private Room,Gus,10/06/2019,69,"Brooklyn, Williamsburg",2019
56467,Cozy East Village Railroad 1 Bed!,Entire Home/Apt,Leonardo,01/07/2019,130,"Manhattan, East Village",2019
56525,1 Bedroom Loft w/ Private Roof Deck,Entire Home/Apt,Alex,13/06/2019,195,"Brooklyn, Greenpoint",2019
56859,City Room - Private & Comfy Bedroom,Private Room,Wayne,03/06/2019,64,"Manhattan, Harlem",2019
57166,Elegant NYC Pad,Entire Home/Apt,Vasili,17/06/2019,140,"Queens, Ditmars Steinway",2019
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire Home/Apt,S.M.,24/06/2019,159,"Brooklyn, Cobble Hill",2019
57468,"Modern, Large East Village Loft",Entire Home/Apt,Ori,23/06/2019,189,"Manhattan, East Village",2019
57618,"Great new apt, close to everything",Entire Home/Apt,Ana,09/06/2019,250,"Manhattan, Hell's Kitchen",2019
57740,Quiet & Clean Retreat in the City,Entire Home/Apt,I,24/05/2019,239,"Manhattan, East Village",2019
57754,Stylish Large Gramercy Loft!,Entire Home/Apt,R,30/06/2019,305,"Manhattan, Flatiron District",2019
57874,The Brownstone-Luxury 1 Bd Apt/NYC,Entire Home/Apt,Simon,26/06/2019,155,"Manhattan, Harlem",2019
58059,PRIVATE Room on Historic Sugar Hill,Private Room,Agnes,03/07/2019,60,"Manhattan, Harlem",2019
58062,South Slope Green,Private Room,Linda,17/05/2019,135,"Brooklyn, Windsor Terrace",2019
58467,"17 Flr. Manhattan Views, Nr. Subway",Private Room,Dave,08/05/2019,120,"Manhattan, Roosevelt Island",2019
59014,"Spacious 1BR, Adorable Clean Quiet",Entire Home/Apt,Drica,02/01/2019,150,"Manhattan, Lower East Side",2019
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire Home/Apt,Betty,19/05/2019,135,"Brooklyn, Greenpoint",2019
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Entire Home/Apt,Ricardo & Ashlie,01/07/2019,250,"Manhattan, Chinatown",2019
60164,"Beautiful, elegant 3 bed SOHO loft",Entire Home/Apt,Harrison,23/06/2019,500,"Manhattan, SoHo",2019
60457,Spacious Greenwich Village Apt,Entire Home/Apt,Jessica,11/05/2019,225,"Manhattan, Greenwich Village",2019
60666,City Room - Private Luxury Suite,Private Room,Wayne,11/06/2019,92,"Manhattan, Harlem",2019
60680,The gem of the East Village,Entire Home/Apt,Mich,20/06/2019,99,"Manhattan, East Village",2019
60948,ACCOMMODATIONS GALORE #2,Entire Home/Apt,Laurine,20/06/2019,140,"Manhattan, East Harlem",2019
61406,Great room in great location,Private Room,Bethania,01/06/2019,80,"Manhattan, Harlem",2019
61492,Exclusive Room with Private Bath in  LES,Private Room,Tunji,23/06/2019,120,"Manhattan, Chinatown",2019
61509,"Quiet, clean midtown apt w. elevato",Entire Home/Apt,Anna/Fonzy,30/04/2019,110,"Manhattan, Midtown",2019
62095,BK Sweet Suite w/Kitchen&FullBath,Entire Home/Apt,Colette&Sean,14/06/2019,65,"Brooklyn, East Flatbush",2019
62427,Great East Village Apartment Rental,Entire Home/Apt,Brie,26/05/2019,130,"Manhattan, East Village",2019
62430,BROWNSTONE SUNDRENCHED BEAUTY,Entire Home/Apt,Sheila,22/06/2019,99,"Brooklyn, Bushwick",2019
62452,A SpeciaL!! Private Room in NY,Private Room,Lissette,25/06/2019,36,"Staten Island, Tompkinsville",2019
62461,B NYC Staten Alternative...,Private Room,Lissette,10/06/2019,37,"Staten Island, Tompkinsville",2019
62787,C Private Room By The Ferry,Private Room,Lissette,02/07/2019,37,"Staten Island, Tompkinsville",2019
62891,Smallest House In The Village,Entire Home/Apt,Olivia,24/05/2019,175,"Manhattan, East Village",2019
62903,Beautiful modern studio apartment in heart of NYC,Entire Home/Apt,Daniel,21/06/2019,205,"Manhattan, Chelsea",2019
62925,Beautiful Landmarked Duplex,Entire Home/Apt,Maya,16/06/2019,285,"Brooklyn, Greenpoint",2019
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Private Room,Scott,23/06/2019,59,"Brooklyn, Williamsburg",2019
63320,D Private Che@p Room 2 Explore NYC,Private Room,Lissette,02/07/2019,36,"Staten Island, Tompkinsville",2019
63360,Safe cute near subway& Manhattan NY NY retro style,Entire Home/Apt,Dennis & Naoko,24/06/2019,99,"Queens, Astoria",2019
63546,Large and Cozy Private Bedroom,Private Room,Antonín,16/05/2019,39,"Brooklyn, Kensington",2019
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire Home/Apt,Vie,27/06/2019,105,"Bronx, Eastchester",2019
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",Entire Home/Apt,Renée,25/06/2019,135,"Brooklyn, Bedford-Stuyvesant",2019
63693,Cottage in the Village,Entire Home/Apt,Olivia,19/06/2019,390,"Manhattan, East Village",2019
64000,Williamsburg near soho. / loftbed,Private Room,Kristian & Di,07/01/2019,60,"Brooklyn, Williamsburg",2019
64107,BROOKLYN  STUDIO APARTMENT,Private Room,Niya,24/06/2019,100,"Brooklyn, Crown Heights",2019
64277,BEDROOM2 FOR RENT  10min from Manh,Private Room,Helene,02/01/2019,70,"Brooklyn, Bedford-Stuyvesant",2019
64314,cozy bedroom in lovely garden apt,Private Room,Debbie,26/05/2019,110,"Brooklyn, Crown Heights",2019
64365,Crown Heights Garden Apt.,Private Room,Anthony,27/06/2019,60,"Brooklyn, Crown Heights",2019
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire Home/Apt,Tilly,02/01/2019,90,"Manhattan, Little Italy",2019
64837,ENJOY Downtown NYC!!,Private Room,Edward,23/06/2019,68,"Manhattan, East Village",2019
65019,Charming UWS Treehouse Apt,Entire Home/Apt,Claire,06/07/2019,115,"Manhattan, Upper West Side",2019
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private Room,Juhli,05/01/2019,75,"Brooklyn, Bedford-Stuyvesant",2019
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Entire Home/Apt,Mary D,03/01/2019,129,"Manhattan, East Village",2019
65615,Farmhouse Apartment in Williamsburg,Entire Home/Apt,Valerie,29/06/2019,130,"Brooklyn, Williamsburg",2019
65660,Bright+Spacious Williamsburg Abode!,Entire Home/Apt,Larissa,07/07/2019,95,"Brooklyn, Williamsburg",2019
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",Private Room,Eric,02/01/2019,75,"Manhattan, Harlem",2019
66008,CHARMING CARROLL GARDENS APT.,Entire Home/Apt,Melissa,01/07/2019,190,"Brooklyn, Carroll Gardens",2019
66026,Private Bedroom Brownstone Brooklyn,Private Room,Alex,30/06/2019,49,"Brooklyn, Crown Heights",2019
66251,East Village Loft with Piano & Patio,Entire Home/Apt,Samir,25/06/2019,212,"Manhattan, East Village",2019
66275,Lower East Side Magic Room,Private Room,Tony,23/06/2019,95,"Manhattan, Lower East Side",2019
66451,**Fantastic Williamsburg Apt**,Entire Home/Apt,Luis Fernando,16/02/2019,140,"Brooklyn, Williamsburg",2019
66718,West Harlem Home Base - Eco-Apt.,Entire Home/Apt,Henning,23/06/2019,135,"Manhattan, Harlem",2019
66741,Charming Garden Apt in Park Slope,Entire Home/Apt,Stefano,23/06/2019,150,"Brooklyn, Park Slope",2019
66974,"Lovely, Modern, Garden Apartment",Entire Home/Apt,Jana,01/07/2019,190,"Brooklyn, Gowanus",2019
67288,Central Park 1BR sunny condo,Entire Home/Apt,Per,15/06/2019,124,"Manhattan, East Harlem",2019
67299,Cozy Garden Apartment  in Williamsburg,Entire Home/Apt,Adrienne,06/05/2019,135,"Brooklyn, Williamsburg",2019
67397,SoHa comfort-by NW Central Park!,Private Room,Elise,22/06/2019,122,"Manhattan, Morningside Heights",2019
68099,Cozy room in Upper West Side,Private Room,Deda,25/06/2019,109,"Manhattan, Upper West Side",2019
68403,The Cozy Brownstone Inn (discount)!,Entire Home/Apt,Naimah,24/06/2019,145,"Brooklyn, Bedford-Stuyvesant",2019
68735,Prewar Penthouse w Private Terrace,Entire Home/Apt,Violetta,13/06/2019,195,"Manhattan, Upper West Side",2019
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire Home/Apt,Jenna,27/06/2019,250,"Brooklyn, Carroll Gardens",2019
68974,Unique spacious loft on the Bowery,Entire Home/Apt,Alicia,20/06/2019,575,"Manhattan, Little Italy",2019
69894,"Nice renovated apt, prime location!",Entire Home/Apt,Silvia,11/06/2019,150,"Manhattan, Upper West Side",2019
69921,Brooklyn Writer's Nook,Private Room,Joab,29/06/2019,70,"Brooklyn, Bushwick",2019
70095,Private Bedroom in Large NYC Apartment,Private Room,Mary And Geoff,30/06/2019,90,"Manhattan, Inwood",2019
70128,"Large, Sunny Room East Village NYC",Private Room,Eyal,10/01/2019,65,"Manhattan, East Village",2019
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,Entire Home/Apt,Bruce,16/06/2019,500,"Manhattan, East Village",2019
71010,All That Jazz. Uptown style on Sugar Hill.,Entire Home/Apt,Kurt,24/05/2019,250,"Manhattan, Washington Heights",2019
71248,Bright and lovely 1 bdrm apt in LES,Entire Home/Apt,Jennifer,17/06/2019,125,"Manhattan, Chinatown",2019
71366,Beautiful One Bed West Village - 4 Month Special,Entire Home/Apt,Ruperto,25/06/2019,200,"Manhattan, West Village",2019
71812,Condo Apartment with laundry in unit,Entire Home/Apt,Thai,02/01/2019,90,"Bronx, Kingsbridge",2019
72190,1BR: See Central Park from Terrace!,Entire Home/Apt,Hudson,15/02/2019,110,"Manhattan, Upper West Side",2019
72265,Private room in cozy Greenpoint,Private Room,Vanessa,16/06/2019,59,"Brooklyn, Greenpoint",2019
